Vid,Abbr,Precinct,PrecinctSub,Party,PartyMain,RegDate,PAV,RegDateOriginal,E6_110816,E5_060716,E4_110414,E3_060314,E2_110612,E1_060512,District,VoterScore,VoterScorePossible,VoterScorePctOfPoss,BirthYear,OldestInHouseBirthYear,IsOldestInHouse,havePhone,BirthPlaceState,BirthPlaceCountry,Gender,sameMailAddress,MailCountry,isApt,Zip,StreetType,EmailProvider,E5_060716BT,E1_060512BT,Tot_Possible_Votes,Act_Votes,Pct_Possible_Votes,Hid,cHid
22,111,835040,0,NPP,NPP,2017-05-21,N,2017-05-21,,,,,,,3,0.0,-1.0,-1.0,1968,1968,True,False,UNK,India,UNK,True,,False,94536,CT,UNK,,,0,0,-1.0,2842,2842
23,82,835400,0,NPP,NPP,1996-02-26,Y,1996-02-26,A,N,A,A,A,N,3,7.0029,11.0063,0.64,1953,1950,False,True,UNK,Viet Nam,F,True,,False,94536,AVE,UNK,NPP,NP,6,4,0.6666666666666666,2079,2079
24,32,835000,0,NPP,NPP,2017-12-01,N,2012-10-20,V,V,N,N,V,,3,7.0019,10.0031,0.7,1986,1950,False,True,Washington,USA,M,True,,False,94536,CMN,machini.st,DEM,,5,3,0.6,4458,4458
25,82,835310,0,NPP,NPP,2016-03-29,Y,1996-10-07,A,A,N,N,A,N,3,7.0019,11.0063,0.64,1937,1937,True,True,UNK,China,F,True,,False,94538,BLVD,UNK,N-DEM,,6,3,0.5,6053,6053
26,32,832810,0,NPP,NPP,1996-08-19,Y,1996-08-19,A,N,A,N,A,N,3,5.8021,11.0063,0.53,1966,1965,False,True,Utah,USA,F,True,,False,94538,ST,UNK,NPP,NP,6,3,0.5,6929,6929
27,1,835300,0,NPP,NPP,2016-05-06,Y,2016-04-26,A,A,,,,,3,5.5003,5.5003,1.0,1967,1965,False,True,UNK,India,F,True,,True,94536,AVE,live.com,NPP,,2,2,1.0,6192,6192
28,1,835200,0,DEM,DEM,2018-05-21,Y,2000-08-29,A,A,A,N,V,N,3,8.8023,11.0063,0.8,1959,1959,True,False,California,USA,F,True,,True,94536,AVE,comcast.net,DEM,,6,4,0.6666666666666666,6760,6760
29,99,832900,0,DEM,DEM,1984-10-08,Y,1984-10-08,A,A,A,A,A,N,3,10.0031,11.0063,0.91,1958,1958,True,False,California,USA,M,True,,False,94538,CT,UNK,DEM,DEM,6,5,0.8333333333333334,3120,3120
30,1,832910,0,DEM,DEM,2007-09-04,Y,2007-09-04,N,N,N,N,N,N,3,0.0,11.0063,0.0,1947,1947,True,True,Washington,USA,F,True,,False,94538,CMN,UNK,DEM,DEM,6,0,0.0,3591,3591
31,82,832800,0,DEM,DEM,1996-10-07,Y,1996-10-07,A,A,A,N,A,A,3,9.8055,11.0063,0.89,1967,1967,True,True,UNK,Mexico,M,True,,False,94538,ST,UNK,DEM,DEM,6,5,0.8333333333333334,2531,2531
32,1,832800,0,DEM,DEM,1992-09-09,N,1992-09-09,V,N,N,N,V,N,3,4.0017,11.0063,0.36,1960,1960,True,False,California,USA,F,True,,False,94538,CT,UNK,,,6,2,0.3333333333333333,999,999
33,23,832710,0,DEM,DEM,2008-11-04,Y,2004-08-17,N,N,N,N,N,N,3,0.0,11.0063,0.0,1946,1946,True,True,UNK,Philippines,F,True,,False,94538,CT,UNK,DEM,DEM,6,0,0.0,1376,1376
34,99,832620,2,DEM,DEM,2009-05-21,Y,1996-01-25,N,N,N,N,A,N,3,1.5016,11.0063,0.14,1965,1965,True,True,California,USA,F,True,,False,94538,AVE,aol.com,DEM,DEM,6,1,0.16666666666666666,4618,4618
35,92,832620,2,NPP,NPP,2002-02-04,Y,1980-03-07,A,N,N,N,A,N,3,4.0017,11.0063,0.36,1957,1957,True,True,Indiana,USA,F,True,,False,94538,CMN,UNK,NPP,NP,6,2,0.3333333333333333,3589,3589
36,112,832900,0,DEM,DEM,2016-10-06,Y,2016-10-06,A,,,,,,3,2.5001,2.5001,1.0,1986,1986,True,True,California,USA,M,True,,False,94538,DR,gmail.com,,,1,1,1.0,3942,3942
37,23,832620,2,NPP,NPP,2002-08-13,N,2002-08-13,V,N,V,V,V,N,3,7.0029,11.0063,0.64,1948,1927,False,True,UNK,India,M,True,,False,94538,DR,UNK,,,6,4,0.6666666666666666,5634,5634
38,16,835500,0,DEM,DEM,2016-03-29,N,2016-03-29,V,N,,,,,3,2.5001,5.5003,0.45,1991,1959,False,False,California,USA,F,True,,True,94536,AVE,UNK,,,2,1,0.5,794,794
39,82,835100,0,DEM,DEM,2015-01-09,Y,2004-08-24,N,N,N,N,A,A,3,2.5048,11.0063,0.23,1986,1957,False,False,UNK,Indonesia,F,True,,False,94536,CMN,UNK,DEM,DEM,6,2,0.3333333333333333,3901,3901
40,16,832800,0,DEM,DEM,2006-04-25,Y,2000-10-12,A,A,A,N,A,N,3,8.8023,11.0063,0.8,1963,1963,True,True,New York,USA,F,True,,False,94538,DR,mail.com,DEM,DEM,6,4,0.6666666666666666,2003,2003
41,12,832710,0,NPP,NPP,2016-06-07,Y,1992-09-29,A,V,N,N,A,N,3,7.0019,11.0063,0.64,1963,1963,True,True,UNK,United States of America,M,True,,False,94538,WAY,UNK,NPP,NP,6,3,0.5,2258,2258
42,99,832710,0,DEM,DEM,2016-06-07,Y,2016-06-07,A,,,,,,3,2.5001,2.5001,1.0,1987,1987,False,False,California,USA,F,True,,False,94538,OTH,UNK,,,1,1,1.0,6926,6926
43,1,835010,0,DEM,DEM,2013-07-05,N,2013-07-05,N,V,N,N,,,3,3.0002,8.5015,0.35,1995,1962,False,True,California,USA,F,True,,False,94536,CT,comcast.net,DEM,,4,1,0.25,6221,6221
44,49,832910,0,NPP,NPP,2000-09-07,N,2000-09-07,V,N,N,N,V,N,3,4.0017,11.0063,0.36,1960,1960,True,True,UNK,Viet Nam,M,True,,False,94538,PL/TER,UNK,,,6,2,0.3333333333333333,4276,4276
45,1,835410,0,NPP,NPP,2012-10-20,Y,2009-05-26,A,N,N,N,V,N,3,4.0017,11.0063,0.36,1974,1972,False,False,UNK,India,UNK,True,,False,94536,ST,UNK,,,6,2,0.3333333333333333,4910,4910
46,111,832400,0,LIB,OTH,2016-10-12,N,2016-10-12,V,,,,,,3,2.5001,2.5001,1.0,1981,1941,False,True,California,USA,M,True,,False,94536,DR,yahoo.com,,,1,1,1.0,1191,1191
47,12,835310,0,REP,REP,2016-06-07,Y,2004-10-18,A,V,A,A,A,N,3,10.0031,11.0063,0.91,1927,1927,True,True,UNK,Indonesia,M,True,,True,94538,AVE,UNK,REP,REP,6,5,0.8333333333333334,878,878
48,1,832900,0,DEM,DEM,2013-06-27,Y,2013-06-27,A,N,N,N,,,3,2.5001,8.5015,0.29,1978,1971,False,False,UNK,China,F,True,,False,94538,DR,hotmail.com,DEM,,4,1,0.25,1235,1235
49,82,832600,1,DEM,DEM,2004-03-25,Y,1998-07-15,A,A,V,V,V,A,3,11.0063,11.0063,1.0,1980,1936,False,True,California,USA,F,False,USA,False,94538,PL/TER,UNK,DEM,DEM,6,6,1.0,440,440
50,12,832400,0,DEM,DEM,2014-11-04,N,2010-01-08,N,N,V,V,V,N,3,4.5028,11.0063,0.41,1961,1961,True,True,UNK,India,F,True,,False,94536,DR,UNK,DEM,N-AIP,6,3,0.5,3417,3417
51,16,831730,0,NPP,NPP,2000-01-12,Y,2000-01-12,A,N,A,N,A,A,3,6.8053,11.0063,0.62,1968,1968,True,False,UNK,Hong Kong,M,True,,False,94536,CT,UNK,NPP,NP,6,4,0.6666666666666666,2235,2235
52,99,835400,0,DEM,DEM,2009-10-13,Y,2009-10-13,N,N,N,N,N,N,3,0.0,11.0063,0.0,1963,1931,False,True,UNK,China,F,True,,False,94536,OTH,UNK,DEM,DEM,6,0,0.0,5096,5096
53,27,832210,1,NPP,NPP,2016-03-14,Y,1900-01-01,N,N,,,,,3,0.0,5.5003,0.0,1997,1997,True,False,California,USA,UNK,True,,True,94538,AVE,UNK,NPP,,2,0,0.0,5948,5948
54,99,832710,0,IND,OTH,2010-10-18,N,2010-10-18,V,N,N,N,V,N,3,4.0017,11.0063,0.36,1974,1974,True,False,Oregon,USA,M,True,,False,94538,WAY,UNK,,,6,2,0.3333333333333333,6299,6299
55,16,832400,0,DEM,DEM,2016-11-20,Y,1993-06-02,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1963,1963,True,False,Texas,USA,M,True,,False,94536,AVE,pobox.com,REP,REP,6,6,1.0,3207,3207
56,12,832900,0,DEM,DEM,2016-11-08,Y,1982-12-03,V,N,N,N,A,A,3,5.0049,11.0063,0.45,1963,1925,False,True,California,USA,M,False,USA,False,94538,OTH,UNK,DEM,DEM,6,3,0.5,4336,4336
57,12,835100,0,DEM,DEM,2016-11-08,N,2015-08-26,V,N,,,,,3,2.5001,5.5003,0.45,1978,1977,False,False,UNK,India,UNK,True,,False,94536,DR,UNK,DEM,,2,1,0.5,4298,4298
58,16,832400,0,NPP,NPP,2016-07-18,Y,2016-07-18,A,,,,,,3,2.5001,2.5001,1.0,1998,1957,False,False,UNK,India,M,True,,False,94536,AVE,UNK,,,1,1,1.0,6017,6017
59,27,835100,0,NPP,NPP,2006-04-06,Y,2006-01-09,A,A,A,N,A,N,3,8.8023,11.0063,0.8,1987,1941,False,True,California,USA,F,True,,False,94536,DR,UNK,NPP,NP,6,4,0.6666666666666666,1113,1113
60,111,832800,0,DEM,DEM,2016-06-04,Y,2016-06-04,A,,,,,,3,2.5001,2.5001,1.0,1993,1953,False,True,California,USA,UNK,True,,False,94538,CT,gmail.com,,,1,1,1.0,4200,4200
61,111,832710,0,AI,OTH,2016-09-23,Y,2016-09-23,A,,,,,,3,2.5001,2.5001,1.0,1970,1963,False,True,UNK,UNK,M,True,,False,94538,AVE,gmail.com,,,1,1,1.0,5081,5081
62,111,835000,0,DEM,DEM,2016-08-25,Y,2016-08-25,A,,,,,,3,2.5001,2.5001,1.0,1988,1953,False,True,UNK,UNK,F,True,,False,94536,PL/TER,UNK,,,1,1,1.0,6778,6778
63,109,832800,0,DEM,DEM,2010-07-08,Y,2010-07-08,A,V,A,N,A,N,3,8.8023,11.0063,0.8,1981,1981,True,False,California,USA,F,True,,False,94538,DR,UNK,DEM,,6,4,0.6666666666666666,4063,4063
64,33,832700,2,DEM,DEM,2014-09-29,Y,2000-07-06,N,N,A,N,N,N,3,1.8004,11.0063,0.16,1968,1958,False,True,UNK,India,F,True,,True,94538,BLVD,UNK,DEM,,6,1,0.16666666666666666,2207,2207
65,99,832600,1,REP,REP,1973-04-05,Y,1973-04-05,A,N,A,N,A,A,3,6.8053,11.0063,0.62,1937,1933,False,False,California,USA,F,True,,False,94538,OTH,UNK,REP,REP,6,4,0.6666666666666666,6257,6257
66,12,835310,0,NPP,NPP,2016-11-08,Y,2016-11-03,,,,,,,3,0.0,-1.0,-1.0,1972,1972,True,True,UNK,India,F,True,,False,94538,CMN,gmail.com,,,0,0,-1.0,5542,5542
67,99,835000,0,NPP,NPP,2014-06-27,N,2014-04-22,V,N,N,,,,3,2.5001,7.3007,0.34,1989,1963,False,True,UNK,Hong Kong,F,True,,True,94536,OTH,gmail.com,,,3,1,0.3333333333333333,441,441
68,99,832610,2,NPP,NPP,2015-10-01,N,2015-10-01,V,N,,,,,3,2.5001,5.5003,0.45,1997,1965,False,True,UNK,United States of America,UNK,True,,True,94538,DR,UNK,,,2,1,0.5,4563,4563
69,99,835300,0,NPP,NPP,2014-12-18,Y,2014-12-18,A,A,,,,,3,5.5003,5.5003,1.0,1965,1965,True,True,UNK,UNK,UNK,True,,True,94536,AVE,hotmail.com,NPP,,2,2,1.0,6192,6192
70,16,835500,0,NPP,NPP,2008-08-28,N,2006-09-05,N,N,N,N,N,V,3,1.0032,11.0063,0.09,1981,1978,False,True,UNK,China,F,True,,False,94536,AVE,UNK,,N-DEM,6,1,0.16666666666666666,6031,6031
71,82,832800,0,DEM,DEM,2008-08-18,Y,2008-08-18,A,A,N,N,A,N,3,7.0019,11.0063,0.64,1990,1959,False,False,UNK,UNK,F,True,,False,94538,ST,UNK,DEM,DEM,6,3,0.5,243,243
72,92,835310,0,NPP,NPP,2005-09-20,Y,2005-09-20,A,N,N,N,A,A,3,5.0049,11.0063,0.45,1976,1976,True,True,UNK,Philippines,F,True,,False,94538,CMN,yahoo.com,N-DEM,NP,6,3,0.5,508,508
73,109,832700,2,NPP,NPP,2017-03-20,N,2004-07-19,V,V,N,N,V,N,3,7.0019,11.0063,0.64,1957,1957,True,False,New York,USA,M,True,,True,94538,BLVD,gmail.com,PF,,6,3,0.5,5342,5342
74,32,832610,2,NPP,NPP,2005-01-07,N,2005-01-07,N,N,N,N,N,N,3,0.0,11.0063,0.0,1986,1986,True,True,California,USA,M,True,,True,94538,WAY,UNK,,,6,0,0.0,6036,6036
75,1,832810,0,DEM,DEM,2000-11-09,N,2000-11-09,V,V,V,V,V,V,3,11.0063,11.0063,1.0,1952,1952,True,True,New Mexico,USA,F,True,,False,94538,DR,UNK,DEM,DEM,6,6,1.0,5231,5231
76,99,832710,0,DEM,DEM,2016-11-08,N,2000-05-19,V,N,N,N,N,N,3,2.5001,11.0063,0.23,1982,1982,True,True,California,USA,M,True,,False,94538,WAY,UNK,NPP,NP,6,1,0.16666666666666666,6105,6105
77,16,835040,0,REP,REP,2004-03-09,N,1999-09-14,V,V,V,V,V,V,3,11.0063,11.0063,1.0,1961,1934,False,True,California,USA,F,True,,False,94536,AVE,msn.com,REP,REP,6,6,1.0,2869,2869
78,111,835410,0,DEM,DEM,2016-11-02,Y,2016-11-02,,,,,,,3,0.0,-1.0,-1.0,1995,1965,False,False,UNK,Korea (Democratic People's Republic of),M,True,,False,94536,CT,gmail.com,,,0,0,-1.0,5877,5877
79,82,835010,0,DEM,DEM,1979-12-27,Y,1979-12-27,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1948,1947,False,False,California,USA,F,True,,False,94536,OTH,UNK,DEM,DEM,6,6,1.0,801,801
80,1,832810,0,DEM,DEM,2016-11-21,Y,2011-04-19,A,A,N,N,A,A,3,8.0051,11.0063,0.73,1987,1933,False,False,California,USA,F,True,,False,94538,ST,UNK,DEM,DEM,6,4,0.6666666666666666,5748,5748
81,39,835300,0,DEM,DEM,2018-04-09,N,2017-04-21,,,,,,,3,0.0,-1.0,-1.0,1988,1988,True,False,UNK,UNK,UNK,True,,True,94536,ST,UNK,,,0,0,-1.0,1379,1379
82,1,832700,2,NPP,NPP,2015-06-05,Y,2012-02-22,N,A,N,N,V,A,3,5.505,11.0063,0.5,1971,1971,True,True,UNK,India,F,True,,True,94538,BLVD,UNK,NPP,DEM,6,3,0.5,5779,5779
83,12,835400,0,NPP,NPP,2014-11-04,Y,2013-12-10,A,N,V,N,,,3,4.3005,8.5015,0.51,1973,1973,True,True,UNK,India,F,True,,False,94536,CT,UNK,NPP,,4,2,0.5,6800,6800
84,82,832620,2,DEM,DEM,1986-09-23,Y,1986-09-23,A,A,A,N,A,A,3,9.8055,11.0063,0.89,1957,1955,False,True,Washington,USA,F,True,,False,94538,WAY,UNK,DEM,DEM,6,5,0.8333333333333334,2894,2894
85,76,832800,0,DEM,DEM,2008-02-05,Y,2000-04-25,N,N,N,N,N,N,3,0.0,11.0063,0.0,1935,1935,True,True,UNK,China,M,True,,False,94538,ST,UNK,DEM,DEM,6,0,0.0,3148,3148
86,16,835500,0,NPP,NPP,2016-04-17,Y,2012-05-17,N,A,N,N,N,A,3,4.0034,11.0063,0.36,1969,1963,False,True,UNK,India,F,True,,False,94536,CMN,gmail.com,NPP,NP,6,2,0.3333333333333333,1032,1032
87,23,835200,0,DEM,DEM,2017-08-30,Y,2016-08-29,A,,,,,,3,2.5001,2.5001,1.0,1990,1990,True,True,UNK,Philippines,F,True,,True,94536,AVE,yahoo.com,,,1,1,1.0,6581,6581
88,99,835040,0,DEM,DEM,2016-10-24,N,2004-10-08,V,N,N,N,N,N,3,2.5001,11.0063,0.23,1967,1945,False,True,California,USA,M,True,,False,94536,ST,gmail.com,,,6,1,0.16666666666666666,5907,5907
89,6,832900,0,DEM,DEM,2003-11-20,N,2003-10-16,N,N,N,N,N,N,3,0.0,11.0063,0.0,1984,1941,False,True,California,USA,F,True,,False,94538,CT,aol.com,,,6,0,0.0,2644,2644
90,111,832710,0,NPP,NPP,2017-02-16,Y,2017-02-16,,,,,,,3,0.0,-1.0,-1.0,1999,1999,True,False,UNK,UNK,M,True,,False,94538,DR,UNK,,,0,0,-1.0,4379,4379
91,111,832600,1,DEM,DEM,2016-02-01,Y,2016-02-01,A,N,,,,,3,2.5001,5.5003,0.45,1996,1967,False,False,UNK,Philippines,F,True,,False,94538,ST,UNK,DEM,,2,1,0.5,1299,1299
92,16,835500,0,NPP,NPP,2008-04-22,N,2008-04-22,V,N,V,V,V,N,3,7.0029,11.0063,0.64,1972,1972,True,True,UNK,India,M,True,,False,94536,CMN,hotmail.com,,,6,4,0.6666666666666666,5537,5537
93,1,835100,0,NPP,NPP,2004-10-15,N,2004-10-15,N,N,N,N,N,N,3,0.0,11.0063,0.0,1959,1959,True,True,UNK,China,F,True,,False,94536,DR,UNK,,,6,0,0.0,2743,2743
94,1,832620,2,DEM,DEM,2016-03-02,Y,2009-09-21,A,N,N,N,N,N,3,2.5001,11.0063,0.23,1990,1953,False,True,California,USA,F,True,,False,94538,WAY,aol.com,DEM,,6,1,0.16666666666666666,774,774
95,82,835310,0,DEM,DEM,1992-08-21,Y,1992-08-21,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1928,1928,True,False,California,USA,F,True,,False,94538,BLVD,UNK,DEM,DEM,6,6,1.0,343,343
96,82,832400,0,DEM,DEM,2008-02-05,Y,1984-09-26,A,N,N,N,V,N,3,4.0017,11.0063,0.36,1964,1964,True,True,California,USA,F,True,,False,94536,CT,gmail.com,,,6,2,0.3333333333333333,2441,2441
97,23,835310,0,DEM,DEM,2017-04-12,Y,2010-02-26,A,A,N,N,A,N,3,7.0019,11.0063,0.64,1986,1986,True,True,California,USA,M,True,,True,94538,BLVD,gmail.com,DEM,NP,6,3,0.5,4039,4039
98,99,832800,0,NPP,NPP,2014-12-03,Y,2014-11-04,A,V,,,,,3,5.5003,5.5003,1.0,1993,1960,False,True,California,USA,M,True,,False,94538,CT,yahoo.com,NPP,,2,2,1.0,3141,3141
99,12,835420,0,DEM,DEM,2016-11-08,N,2004-09-27,V,V,N,N,V,N,3,7.0019,11.0063,0.64,1983,1983,True,False,California,USA,F,True,,False,94536,ST,UNK,DEM,DEM,6,3,0.5,5236,5236
100,32,835300,0,DEM,DEM,1996-11-05,Y,1996-11-05,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1940,1940,True,True,Mississippi,USA,F,True,,True,94538,AVE,UNK,DEM,DEM,6,6,1.0,2794,2794
101,16,835040,0,NPP,NPP,2008-10-02,Y,2008-10-02,A,N,N,N,A,N,3,4.0017,11.0063,0.36,1988,1950,False,True,California,USA,F,True,,False,94536,AVE,UNK,NPP,NP,6,2,0.3333333333333333,3296,3296
102,99,835310,0,DEM,DEM,2012-04-10,Y,2012-04-10,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1930,1930,True,True,California,USA,F,False,USA,True,94538,AVE,UNK,DEM,DEM,6,6,1.0,3468,3468
103,109,832600,1,NPP,NPP,2000-10-05,Y,2000-10-05,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1963,1963,True,False,Oklahoma,USA,M,True,,False,94538,AVE,UNK,N-DEM,NP,6,6,1.0,3553,3553
104,82,835300,0,DEM,DEM,2014-01-03,Y,1970-04-03,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1946,1946,True,False,California,USA,F,True,,True,94538,AVE,UNK,DEM,DEM,6,6,1.0,1496,1496
105,16,832600,1,DEM,DEM,2008-08-20,N,2008-08-20,N,N,N,N,V,N,3,1.5016,11.0063,0.14,1961,1942,False,True,Illinois,USA,F,True,,False,94538,ST,UNK,,,6,1,0.16666666666666666,4451,4451
106,12,835400,0,DEM,DEM,2012-11-06,N,2012-07-11,V,V,N,N,V,,3,7.0019,10.0031,0.7,1986,1965,False,True,UNK,India,UNK,True,,False,94536,ST,UNK,DEM,,5,3,0.6,5788,5788
107,82,832910,0,NPP,NPP,1976-10-04,Y,1976-10-04,A,A,A,N,A,N,3,8.8023,11.0063,0.8,1952,1951,False,False,Illinois,USA,F,True,,False,94538,PL/TER,UNK,NPP,NP,6,4,0.6666666666666666,4031,4031
108,1,835100,0,REP,REP,2015-05-28,Y,2015-05-28,V,A,,,,,3,5.5003,5.5003,1.0,1995,1963,False,False,UNK,Romania,M,True,,False,94536,WAY,UNK,REP,,2,2,1.0,285,285
109,16,832110,0,DEM,DEM,2000-10-10,Y,2000-10-10,A,A,N,N,A,N,3,7.0019,11.0063,0.64,1960,1960,True,False,California,USA,F,True,,False,94536,CT,UNK,DEM,DEM,6,3,0.5,844,844
110,1,832610,2,DEM,DEM,2017-05-15,Y,2007-05-18,A,N,N,N,N,N,3,2.5001,11.0063,0.23,1983,1945,False,False,California,USA,F,True,,False,94538,WAY,yahoo.com,NPP,NP,6,1,0.16666666666666666,6258,6258
111,32,835310,0,REP,REP,2017-09-01,N,2008-01-14,N,N,N,N,N,N,3,0.0,11.0063,0.0,1932,1923,False,False,UNK,Viet Nam,F,True,,False,94538,AVE,UNK,,,6,0,0.0,4988,4988
112,16,832110,0,DEM,DEM,2012-06-05,Y,1982-10-01,A,A,A,N,A,V,3,9.8055,11.0063,0.89,1954,1953,False,True,California,USA,F,True,,False,94536,DR,UNK,DEM,DEM,6,5,0.8333333333333334,1871,1871
113,99,832610,2,NPP,NPP,2018-04-25,Y,2018-04-02,,,,,,,3,0.0,-1.0,-1.0,1981,1981,True,False,UNK,India,M,True,,True,94538,OTH,UNK,,,0,0,-1.0,4423,4423
114,111,832400,0,NPP,NPP,2016-10-24,N,2016-10-24,V,,,,,,3,2.5001,2.5001,1.0,1962,1962,True,True,California,USA,M,True,,True,94536,OTH,gmail.com,,,1,1,1.0,4254,4254
