Vid,Abbr,Precinct,PrecinctSub,Party,RegDate,PAV,RegDateOriginal,E6_110816,E5_060716,E4_110414,E3_060314,E2_110612,E1_060512,District,VoterScore,VoterScorePossible,VoterScorePctOfPoss,BirthYear,OldestInHouseBirthYear,IsOldestInHouse,havePhone,BirthPlaceState,BirthPlaceCountry,Gender,sameMailAddress,MailCountry,isApt,Zip,StreetType,EmailProvider,E5_060716BT,E1_060512BT,Hid,cHid,e_sum,E34_nVotesPos,E34_nVotes,E34_nVotesPct,E56_nVotesPos,E56_nVotes,E56_nVotesPct,E78_nVotesPos,E78_nVotes,E78_nVotesPct
17,82,835400,0,REP,1992-09-03,Y,1992-09-03,A,N,N,N,V,N,3,4.0017,11.0063,0.36,1947,1943,False,True,Arkansas,USA,F,True,,False,94536,CMN,unk,,,3681,3681,VNNNAN,2,1,0.5,4,1,0.25,6,2,0.3333333333333333
18,99,835400,0,DEM,1980-04-25,Y,1980-04-25,A,A,A,N,A,N,3,8.8023,11.0063,0.8,1954,1954,True,False,California,USA,M,True,,False,94536,GRN,unk,DEM,DEM,5536,5536,ANANAA,2,1,0.5,4,2,0.5,6,4,0.6666666666666666
19,82,835310,0,DEM,2002-10-07,Y,2002-10-07,A,N,N,N,N,N,3,2.5001,11.0063,0.23,1944,1944,True,True,UNK,Pakistan,F,True,,True,94538,BLVD,unk,,,1755,1755,NNNNAN,2,0,0.0,4,0,0.0,6,1,0.16666666666666666
20,23,832610,2,NPP,2017-12-26,Y,2014-04-24,N,N,N,N,,,3,0.0,8.5015,0.0,1956,1956,False,False,UNK,India,UNK,True,,True,94538,DR,yahoo.com,NPP,,6427,6427,NNNN,0,0,-1.0,2,0,0.0,4,0,0.0
21,16,831730,0,NPP,2016-06-07,Y,2012-10-17,A,V,N,N,N,,3,5.5003,10.0031,0.55,1991,1962,False,False,UNK,"Taiwan, Province of China",M,True,,False,94536,CT,gmail.com,REP,,6750,6750,NNNAV,1,0,0.0,3,0,0.0,5,2,0.4
22,111,835040,0,NPP,2017-05-21,N,2017-05-21,,,,,,,3,0.0,-1.0,-1.0,1968,1968,True,False,UNK,India,UNK,True,,False,94536,CT,unk,,,2842,2842,,0,0,-1.0,0,0,-1.0,0,0,-1.0
23,82,835400,0,NPP,1996-02-26,Y,1996-02-26,A,N,A,A,A,N,3,7.0029,11.0063,0.64,1953,1950,False,True,UNK,Viet Nam,F,True,,False,94536,AVE,unk,NPP,NP,2079,2079,ANAAAN,2,1,0.5,4,3,0.75,6,4,0.6666666666666666
24,32,835000,0,NPP,2017-12-01,N,2012-10-20,V,V,N,N,V,,3,7.0019,10.0031,0.7,1986,1950,False,True,Washington,USA,M,True,,False,94536,CMN,machini.st,DEM,,4458,4458,VNNVV,1,1,1.0,3,1,0.3333333333333333,5,3,0.6
25,82,835310,0,NPP,2016-03-29,Y,1996-10-07,A,A,N,N,A,N,3,7.0019,11.0063,0.64,1937,1937,True,True,UNK,China,F,True,,False,94538,BLVD,unk,N-DEM,,6053,6053,ANNNAA,2,1,0.5,4,1,0.25,6,3,0.5
26,32,832810,0,NPP,1996-08-19,Y,1996-08-19,A,N,A,N,A,N,3,5.8021,11.0063,0.53,1966,1965,False,True,Utah,USA,F,True,,False,94538,ST,unk,NPP,NP,6929,6929,ANANAN,2,1,0.5,4,2,0.5,6,3,0.5
27,1,835300,0,NPP,2016-05-06,Y,2016-04-26,A,A,,,,,3,5.5003,5.5003,1.0,1967,1965,False,True,UNK,India,F,True,,True,94536,AVE,live.com,NPP,,6192,6192,AA,0,0,-1.0,0,0,-1.0,2,2,1.0
28,1,835200,0,DEM,2018-05-21,Y,2000-08-29,A,A,A,N,V,N,3,8.8023,11.0063,0.8,1959,1959,True,False,California,USA,F,True,,True,94536,AVE,comcast.net,DEM,,6760,6760,VNANAA,2,1,0.5,4,2,0.5,6,4,0.6666666666666666
29,99,832900,0,DEM,1984-10-08,Y,1984-10-08,A,A,A,A,A,N,3,10.0031,11.0063,0.91,1958,1958,True,False,California,USA,M,True,,False,94538,CT,unk,DEM,DEM,3120,3120,ANAAAA,2,1,0.5,4,3,0.75,6,5,0.8333333333333334
30,1,832910,0,DEM,2007-09-04,Y,2007-09-04,N,N,N,N,N,N,3,0.0,11.0063,0.0,1947,1947,True,True,Washington,USA,F,True,,False,94538,CMN,unk,DEM,DEM,3591,3591,NNNNNN,2,0,0.0,4,0,0.0,6,0,0.0
31,82,832800,0,DEM,1996-10-07,Y,1996-10-07,A,A,A,N,A,A,3,9.8055,11.0063,0.89,1967,1967,True,True,UNK,Mexico,M,True,,False,94538,ST,unk,DEM,DEM,2531,2531,AAANAA,2,2,1.0,4,3,0.75,6,5,0.8333333333333334
32,1,832800,0,DEM,1992-09-09,N,1992-09-09,V,N,N,N,V,N,3,4.0017,11.0063,0.36,1960,1960,True,False,California,USA,F,True,,False,94538,CT,unk,,,999,999,VNNNVN,2,1,0.5,4,1,0.25,6,2,0.3333333333333333
33,23,832710,0,DEM,2008-11-04,Y,2004-08-17,N,N,N,N,N,N,3,0.0,11.0063,0.0,1946,1946,True,True,UNK,Philippines,F,True,,False,94538,CT,unk,DEM,DEM,1376,1376,NNNNNN,2,0,0.0,4,0,0.0,6,0,0.0
34,99,832620,2,DEM,2009-05-21,Y,1996-01-25,N,N,N,N,A,N,3,1.5016,11.0063,0.14,1965,1965,True,True,California,USA,F,True,,False,94538,AVE,aol.com,DEM,DEM,4618,4618,ANNNNN,2,1,0.5,4,1,0.25,6,1,0.16666666666666666
35,92,832620,2,NPP,2002-02-04,Y,1980-03-07,A,N,N,N,A,N,3,4.0017,11.0063,0.36,1957,1957,True,True,Indiana,USA,F,True,,False,94538,CMN,unk,NPP,NP,3589,3589,ANNNAN,2,1,0.5,4,1,0.25,6,2,0.3333333333333333
36,112,832900,0,DEM,2016-10-06,Y,2016-10-06,A,,,,,,3,2.5001,2.5001,1.0,1986,1986,True,True,California,USA,M,True,,False,94538,DR,gmail.com,,,3942,3942,A,0,0,-1.0,0,0,-1.0,1,1,1.0
37,23,832620,2,NPP,2002-08-13,N,2002-08-13,V,N,V,V,V,N,3,7.0029,11.0063,0.64,1948,1927,False,True,UNK,India,M,True,,False,94538,DR,unk,,,5634,5634,VNVVVN,2,1,0.5,4,3,0.75,6,4,0.6666666666666666
38,16,835500,0,DEM,2016-03-29,N,2016-03-29,V,N,,,,,3,2.5001,5.5003,0.45,1991,1959,False,False,California,USA,F,True,,True,94536,AVE,unk,,,794,794,VN,0,0,-1.0,0,0,-1.0,2,1,0.5
39,82,835100,0,DEM,2015-01-09,Y,2004-08-24,N,N,N,N,A,A,3,2.5048,11.0063,0.23,1986,1957,False,False,UNK,Indonesia,F,True,,False,94536,CMN,unk,DEM,DEM,3901,3901,AANNNN,2,2,1.0,4,2,0.5,6,2,0.3333333333333333
40,16,832800,0,DEM,2006-04-25,Y,2000-10-12,A,A,A,N,A,N,3,8.8023,11.0063,0.8,1963,1963,True,True,New York,USA,F,True,,False,94538,DR,mail.com,DEM,DEM,2003,2003,ANANAA,2,1,0.5,4,2,0.5,6,4,0.6666666666666666
41,12,832710,0,NPP,2016-06-07,Y,1992-09-29,A,V,N,N,A,N,3,7.0019,11.0063,0.64,1963,1963,True,True,UNK,United States of America,M,True,,False,94538,WAY,unk,NPP,NP,2258,2258,ANNNAV,2,1,0.5,4,1,0.25,6,3,0.5
42,99,832710,0,DEM,2016-06-07,Y,2016-06-07,A,,,,,,3,2.5001,2.5001,1.0,1987,1987,False,False,California,USA,F,True,,False,94538,RD,unk,,,6926,6926,A,0,0,-1.0,0,0,-1.0,1,1,1.0
43,1,835010,0,DEM,2013-07-05,N,2013-07-05,N,V,N,N,,,3,3.0002,8.5015,0.35,1995,1962,False,True,California,USA,F,True,,False,94536,CT,comcast.net,DEM,,6221,6221,NNNV,0,0,-1.0,2,0,0.0,4,1,0.25
44,49,832910,0,NPP,2000-09-07,N,2000-09-07,V,N,N,N,V,N,3,4.0017,11.0063,0.36,1960,1960,True,True,UNK,Viet Nam,M,True,,False,94538,PL,unk,,,4276,4276,VNNNVN,2,1,0.5,4,1,0.25,6,2,0.3333333333333333
45,1,835410,0,NPP,2012-10-20,Y,2009-05-26,A,N,N,N,V,N,3,4.0017,11.0063,0.36,1974,1972,False,False,UNK,India,UNK,True,,False,94536,ST,unk,,,4910,4910,VNNNAN,2,1,0.5,4,1,0.25,6,2,0.3333333333333333
46,111,832400,0,LIB,2016-10-12,N,2016-10-12,V,,,,,,3,2.5001,2.5001,1.0,1981,1941,False,True,California,USA,M,True,,False,94536,DR,yahoo.com,,,1191,1191,V,0,0,-1.0,0,0,-1.0,1,1,1.0
47,12,835310,0,REP,2016-06-07,Y,2004-10-18,A,V,A,A,A,N,3,10.0031,11.0063,0.91,1927,1927,True,True,UNK,Indonesia,M,True,,True,94538,AVE,unk,REP,REP,878,878,ANAAAV,2,1,0.5,4,3,0.75,6,5,0.8333333333333334
48,1,832900,0,DEM,2013-06-27,Y,2013-06-27,A,N,N,N,,,3,2.5001,8.5015,0.29,1978,1971,False,False,UNK,China,F,True,,False,94538,DR,hotmail.com,DEM,,1235,1235,NNAN,0,0,-1.0,2,0,0.0,4,1,0.25
49,82,832600,1,DEM,2004-03-25,Y,1998-07-15,A,A,V,V,V,A,3,11.0063,11.0063,1.0,1980,1936,False,True,California,USA,F,False,USA,False,94538,PL,unk,DEM,DEM,440,440,VAVVAA,2,2,1.0,4,4,1.0,6,6,1.0
50,12,832400,0,DEM,2014-11-04,N,2010-01-08,N,N,V,V,V,N,3,4.5028,11.0063,0.41,1961,1961,True,True,UNK,India,F,True,,False,94536,DR,unk,DEM,N-AIP,3417,3417,VNVVNN,2,1,0.5,4,3,0.75,6,3,0.5
51,16,831730,0,NPP,2000-01-12,Y,2000-01-12,A,N,A,N,A,A,3,6.8053,11.0063,0.62,1968,1968,True,False,UNK,Hong Kong,M,True,,False,94536,CT,unk,NPP,NP,2235,2235,AAANAN,2,2,1.0,4,3,0.75,6,4,0.6666666666666666
52,99,835400,0,DEM,2009-10-13,Y,2009-10-13,N,N,N,N,N,N,3,0.0,11.0063,0.0,1963,1931,False,True,UNK,China,F,True,,False,94536,GRN,unk,DEM,DEM,5096,5096,NNNNNN,2,0,0.0,4,0,0.0,6,0,0.0
53,27,832210,1,NPP,2016-03-14,Y,1900-01-01,N,N,,,,,3,0.0,5.5003,0.0,1997,1997,True,False,California,USA,UNK,True,,True,94538,AVE,unk,NPP,,5948,5948,NN,0,0,-1.0,0,0,-1.0,2,0,0.0
54,99,832710,0,IND,2010-10-18,N,2010-10-18,V,N,N,N,V,N,3,4.0017,11.0063,0.36,1974,1974,True,False,Oregon,USA,M,True,,False,94538,WAY,unk,,,6299,6299,VNNNVN,2,1,0.5,4,1,0.25,6,2,0.3333333333333333
55,16,832400,0,DEM,2016-11-20,Y,1993-06-02,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1963,1963,True,False,Texas,USA,M,True,,False,94536,AVE,pobox.com,REP,REP,3207,3207,AAAAAA,2,2,1.0,4,4,1.0,6,6,1.0
56,12,832900,0,DEM,2016-11-08,Y,1982-12-03,V,N,N,N,A,A,3,5.0049,11.0063,0.45,1963,1925,False,True,California,USA,M,False,USA,False,94538,RD,unk,DEM,DEM,4336,4336,AANNVN,2,2,1.0,4,2,0.5,6,3,0.5
57,12,835100,0,DEM,2016-11-08,N,2015-08-26,V,N,,,,,3,2.5001,5.5003,0.45,1978,1977,False,False,UNK,India,UNK,True,,False,94536,DR,unk,DEM,,4298,4298,VN,0,0,-1.0,0,0,-1.0,2,1,0.5
58,16,832400,0,NPP,2016-07-18,Y,2016-07-18,A,,,,,,3,2.5001,2.5001,1.0,1998,1957,False,False,UNK,India,M,True,,False,94536,AVE,unk,,,6017,6017,A,0,0,-1.0,0,0,-1.0,1,1,1.0
59,27,835100,0,NPP,2006-04-06,Y,2006-01-09,A,A,A,N,A,N,3,8.8023,11.0063,0.8,1987,1941,False,True,California,USA,F,True,,False,94536,DR,unk,NPP,NP,1113,1113,ANANAA,2,1,0.5,4,2,0.5,6,4,0.6666666666666666
60,111,832800,0,DEM,2016-06-04,Y,2016-06-04,A,,,,,,3,2.5001,2.5001,1.0,1993,1953,False,True,California,USA,UNK,True,,False,94538,CT,gmail.com,,,4200,4200,A,0,0,-1.0,0,0,-1.0,1,1,1.0
61,111,832710,0,AI,2016-09-23,Y,2016-09-23,A,,,,,,3,2.5001,2.5001,1.0,1970,1963,False,True,UNK,UNK,M,True,,False,94538,AVE,gmail.com,,,5081,5081,A,0,0,-1.0,0,0,-1.0,1,1,1.0
62,111,835000,0,DEM,2016-08-25,Y,2016-08-25,A,,,,,,3,2.5001,2.5001,1.0,1988,1953,False,True,UNK,UNK,F,True,,False,94536,TER,unk,,,6778,6778,A,0,0,-1.0,0,0,-1.0,1,1,1.0
63,109,832800,0,DEM,2010-07-08,Y,2010-07-08,A,V,A,N,A,N,3,8.8023,11.0063,0.8,1981,1981,True,False,California,USA,F,True,,False,94538,DR,unk,DEM,,4063,4063,ANANAV,2,1,0.5,4,2,0.5,6,4,0.6666666666666666
64,33,832700,2,DEM,2014-09-29,Y,2000-07-06,N,N,A,N,N,N,3,1.8004,11.0063,0.16,1968,1958,False,True,UNK,India,F,True,,True,94538,BLVD,unk,DEM,,2207,2207,NNANNN,2,0,0.0,4,1,0.25,6,1,0.16666666666666666
65,99,832600,1,REP,1973-04-05,Y,1973-04-05,A,N,A,N,A,A,3,6.8053,11.0063,0.62,1937,1933,False,False,California,USA,F,True,,False,94538,RD,unk,REP,REP,6257,6257,AAANAN,2,2,1.0,4,3,0.75,6,4,0.6666666666666666
66,12,835310,0,NPP,2016-11-08,Y,2016-11-03,,,,,,,3,0.0,-1.0,-1.0,1972,1972,True,True,UNK,India,F,True,,False,94538,CMN,gmail.com,,,5542,5542,,0,0,-1.0,0,0,-1.0,0,0,-1.0
67,99,835000,0,NPP,2014-06-27,N,2014-04-22,V,N,N,,,,3,2.5001,7.3007,0.34,1989,1963,False,True,UNK,Hong Kong,F,True,,True,94536,PKWY,gmail.com,,,441,441,NVN,0,0,-1.0,1,0,0.0,3,1,0.3333333333333333
68,99,832610,2,NPP,2015-10-01,N,2015-10-01,V,N,,,,,3,2.5001,5.5003,0.45,1997,1965,False,True,UNK,United States of America,UNK,True,,True,94538,DR,unk,,,4563,4563,VN,0,0,-1.0,0,0,-1.0,2,1,0.5
69,99,835300,0,NPP,2014-12-18,Y,2014-12-18,A,A,,,,,3,5.5003,5.5003,1.0,1965,1965,True,True,UNK,UNK,UNK,True,,True,94536,AVE,hotmail.com,NPP,,6192,6192,AA,0,0,-1.0,0,0,-1.0,2,2,1.0
70,16,835500,0,NPP,2008-08-28,N,2006-09-05,N,N,N,N,N,V,3,1.0032,11.0063,0.09,1981,1978,False,True,UNK,China,F,True,,False,94536,AVE,unk,,N-DEM,6031,6031,NVNNNN,2,1,0.5,4,1,0.25,6,1,0.16666666666666666
71,82,832800,0,DEM,2008-08-18,Y,2008-08-18,A,A,N,N,A,N,3,7.0019,11.0063,0.64,1990,1959,False,False,UNK,UNK,F,True,,False,94538,ST,unk,DEM,DEM,243,243,ANNNAA,2,1,0.5,4,1,0.25,6,3,0.5
72,92,835310,0,NPP,2005-09-20,Y,2005-09-20,A,N,N,N,A,A,3,5.0049,11.0063,0.45,1976,1976,True,True,UNK,Philippines,F,True,,False,94538,CMN,yahoo.com,N-DEM,NP,508,508,AANNAN,2,2,1.0,4,2,0.5,6,3,0.5
73,109,832700,2,NPP,2017-03-20,N,2004-07-19,V,V,N,N,V,N,3,7.0019,11.0063,0.64,1957,1957,True,False,New York,USA,M,True,,True,94538,BLVD,gmail.com,PF,,5342,5342,VNNNVV,2,1,0.5,4,1,0.25,6,3,0.5
74,32,832610,2,NPP,2005-01-07,N,2005-01-07,N,N,N,N,N,N,3,0.0,11.0063,0.0,1986,1986,True,True,California,USA,M,True,,True,94538,WAY,unk,,,6036,6036,NNNNNN,2,0,0.0,4,0,0.0,6,0,0.0
75,1,832810,0,DEM,2000-11-09,N,2000-11-09,V,V,V,V,V,V,3,11.0063,11.0063,1.0,1952,1952,True,True,New Mexico,USA,F,True,,False,94538,DR,unk,DEM,DEM,5231,5231,VVVVVV,2,2,1.0,4,4,1.0,6,6,1.0
76,99,832710,0,DEM,2016-11-08,N,2000-05-19,V,N,N,N,N,N,3,2.5001,11.0063,0.23,1982,1982,True,True,California,USA,M,True,,False,94538,WAY,unk,NPP,NP,6105,6105,NNNNVN,2,0,0.0,4,0,0.0,6,1,0.16666666666666666
77,16,835040,0,REP,2004-03-09,N,1999-09-14,V,V,V,V,V,V,3,11.0063,11.0063,1.0,1961,1934,False,True,California,USA,F,True,,False,94536,AVE,msn.com,REP,REP,2869,2869,VVVVVV,2,2,1.0,4,4,1.0,6,6,1.0
78,111,835410,0,DEM,2016-11-02,Y,2016-11-02,,,,,,,3,0.0,-1.0,-1.0,1995,1965,False,False,UNK,Korea (Democratic People's Republic of),M,True,,False,94536,CT,gmail.com,,,5877,5877,,0,0,-1.0,0,0,-1.0,0,0,-1.0
79,82,835010,0,DEM,1979-12-27,Y,1979-12-27,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1948,1947,False,False,California,USA,F,True,,False,94536,LOOP,unk,DEM,DEM,801,801,AAAAAA,2,2,1.0,4,4,1.0,6,6,1.0
80,1,832810,0,DEM,2016-11-21,Y,2011-04-19,A,A,N,N,A,A,3,8.0051,11.0063,0.73,1987,1933,False,False,California,USA,F,True,,False,94538,ST,unk,DEM,DEM,5748,5748,AANNAA,2,2,1.0,4,2,0.5,6,4,0.6666666666666666
81,39,835300,0,DEM,2018-04-09,N,2017-04-21,,,,,,,3,0.0,-1.0,-1.0,1988,1988,True,False,UNK,UNK,UNK,True,,True,94536,ST,unk,,,1379,1379,,0,0,-1.0,0,0,-1.0,0,0,-1.0
82,1,832700,2,NPP,2015-06-05,Y,2012-02-22,N,A,N,N,V,A,3,5.505,11.0063,0.5,1971,1971,True,True,UNK,India,F,True,,True,94538,BLVD,unk,NPP,DEM,5779,5779,VANNNA,2,2,1.0,4,2,0.5,6,3,0.5
83,12,835400,0,NPP,2014-11-04,Y,2013-12-10,A,N,V,N,,,3,4.3005,8.5015,0.51,1973,1973,True,True,UNK,India,F,True,,False,94536,CT,unk,NPP,,6800,6800,VNAN,0,0,-1.0,2,1,0.5,4,2,0.5
84,82,832620,2,DEM,1986-09-23,Y,1986-09-23,A,A,A,N,A,A,3,9.8055,11.0063,0.89,1957,1955,False,True,Washington,USA,F,True,,False,94538,WAY,unk,DEM,DEM,2894,2894,AAANAA,2,2,1.0,4,3,0.75,6,5,0.8333333333333334
85,76,832800,0,DEM,2008-02-05,Y,2000-04-25,N,N,N,N,N,N,3,0.0,11.0063,0.0,1935,1935,True,True,UNK,China,M,True,,False,94538,ST,unk,DEM,DEM,3148,3148,NNNNNN,2,0,0.0,4,0,0.0,6,0,0.0
86,16,835500,0,NPP,2016-04-17,Y,2012-05-17,N,A,N,N,N,A,3,4.0034,11.0063,0.36,1969,1963,False,True,UNK,India,F,True,,False,94536,CMN,gmail.com,NPP,NP,1032,1032,NANNNA,2,1,0.5,4,1,0.25,6,2,0.3333333333333333
87,23,835200,0,DEM,2017-08-30,Y,2016-08-29,A,,,,,,3,2.5001,2.5001,1.0,1990,1990,True,True,UNK,Philippines,F,True,,True,94536,AVE,yahoo.com,,,6581,6581,A,0,0,-1.0,0,0,-1.0,1,1,1.0
88,99,835040,0,DEM,2016-10-24,N,2004-10-08,V,N,N,N,N,N,3,2.5001,11.0063,0.23,1967,1945,False,True,California,USA,M,True,,False,94536,ST,gmail.com,,,5907,5907,NNNNVN,2,0,0.0,4,0,0.0,6,1,0.16666666666666666
89,6,832900,0,DEM,2003-11-20,N,2003-10-16,N,N,N,N,N,N,3,0.0,11.0063,0.0,1984,1941,False,True,California,USA,F,True,,False,94538,CT,aol.com,,,2644,2644,NNNNNN,2,0,0.0,4,0,0.0,6,0,0.0
90,111,832710,0,NPP,2017-02-16,Y,2017-02-16,,,,,,,3,0.0,-1.0,-1.0,1999,1999,True,False,UNK,UNK,M,True,,False,94538,DR,unk,,,4379,4379,,0,0,-1.0,0,0,-1.0,0,0,-1.0
91,111,832600,1,DEM,2016-02-01,Y,2016-02-01,A,N,,,,,3,2.5001,5.5003,0.45,1996,1967,False,False,UNK,Philippines,F,True,,False,94538,ST,unk,DEM,,1299,1299,AN,0,0,-1.0,0,0,-1.0,2,1,0.5
92,16,835500,0,NPP,2008-04-22,N,2008-04-22,V,N,V,V,V,N,3,7.0029,11.0063,0.64,1972,1972,True,True,UNK,India,M,True,,False,94536,CMN,hotmail.com,,,5537,5537,VNVVVN,2,1,0.5,4,3,0.75,6,4,0.6666666666666666
93,1,835100,0,NPP,2004-10-15,N,2004-10-15,N,N,N,N,N,N,3,0.0,11.0063,0.0,1959,1959,True,True,UNK,China,F,True,,False,94536,DR,unk,,,2743,2743,NNNNNN,2,0,0.0,4,0,0.0,6,0,0.0
94,1,832620,2,DEM,2016-03-02,Y,2009-09-21,A,N,N,N,N,N,3,2.5001,11.0063,0.23,1990,1953,False,True,California,USA,F,True,,False,94538,WAY,aol.com,DEM,,774,774,NNNNAN,2,0,0.0,4,0,0.0,6,1,0.16666666666666666
95,82,835310,0,DEM,1992-08-21,Y,1992-08-21,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1928,1928,True,False,California,USA,F,True,,False,94538,BLVD,unk,DEM,DEM,343,343,AAAAAA,2,2,1.0,4,4,1.0,6,6,1.0
96,82,832400,0,DEM,2008-02-05,Y,1984-09-26,A,N,N,N,V,N,3,4.0017,11.0063,0.36,1964,1964,True,True,California,USA,F,True,,False,94536,CT,gmail.com,,,2441,2441,VNNNAN,2,1,0.5,4,1,0.25,6,2,0.3333333333333333
97,23,835310,0,DEM,2017-04-12,Y,2010-02-26,A,A,N,N,A,N,3,7.0019,11.0063,0.64,1986,1986,True,True,California,USA,M,True,,True,94538,BLVD,gmail.com,DEM,NP,4039,4039,ANNNAA,2,1,0.5,4,1,0.25,6,3,0.5
98,99,832800,0,NPP,2014-12-03,Y,2014-11-04,A,V,,,,,3,5.5003,5.5003,1.0,1993,1960,False,True,California,USA,M,True,,False,94538,CT,yahoo.com,NPP,,3141,3141,AV,0,0,-1.0,0,0,-1.0,2,2,1.0
99,12,835420,0,DEM,2016-11-08,N,2004-09-27,V,V,N,N,V,N,3,7.0019,11.0063,0.64,1983,1983,True,False,California,USA,F,True,,False,94536,ST,unk,DEM,DEM,5236,5236,VNNNVV,2,1,0.5,4,1,0.25,6,3,0.5
